Date,Price,Signal,Position,Capital,Return
2023-04-13,122.599998,0,0.3,57845.51149018326,-0.42154488509816745
2023-04-17,122.239998,1,0.3,57794.554595053945,-0.42205445404946057
2023-04-18,122.82,0,0.3,57876.821343588024,-0.42123178656411975
2023-04-19,121.730003,0,0.3,57722.7286185415,-0.422772713814585
2023-04-20,121.959999,0,0.3,57755.44692059728,-0.4224455307940272
2023-04-21,122.309998,-1,0.0,57689.618102510954,-0.42310381897489047
2023-04-24,121.480003,0,0.0,57689.618102510954,-0.42310381897489047
2023-04-25,120.25,-1,0.0,57631.92848440845,-0.42368071515591554
2023-04-26,120.839996,0,0.0,57631.92848440845,-0.42368071515591554
2023-04-27,120.389999,-1,0.0,57574.29655592404,-0.4242570344407596
2023-04-28,120.769997,0,0.0,57574.29655592404,-0.4242570344407596
2023-05-01,119.669998,-1,0.0,57516.722259368114,-0.42483277740631886
2023-05-02,119.650002,-1,0.0,57459.20553710875,-0.4254079446289125
2023-05-03,117.980003,-1,0.0,57401.74633157164,-0.4259825366842836
2023-05-04,116.790001,-1,0.0,57344.34458524007,-0.4265565541475993
2023-05-05,117.010002,-1,0.0,57287.00024065483,-0.4271299975934517
2023-05-08,116.75,0,0.0,57287.00024065483,-0.4271299975934517
2023-05-09,116.050003,-1,0.0,57229.713240414174,-0.42770286759585824
2023-05-10,116.040001,0,0.0,57229.713240414174,-0.42770286759585824
2023-05-11,116.5,1,0.3,57172.48352717376,-0.4282751647282624
2023-05-12,116.830002,1,0.3,57221.06816384913,-0.4277893183615087
2023-05-15,117.139999,1,0.3,57266.61731859687,-0.42733382681403126
2023-05-16,117.650002,1,0.3,57341.41537275855,-0.42658584627241447
2023-05-17,119.790001,1,0.3,57654.319502304475,-0.42345680497695526
2023-05-18,118.809998,1,0.3,57512.81836129885,-0.4248718163870115
2023-05-19,119.400002,1,0.3,57598.50002140066,-0.42401499978599344
2023-05-22,119.900002,1,0.3,57670.8599448386,-0.42329140055161396
2023-05-23,119.139999,0,0.3,57561.19349152864,-0.4243880650847136
2023-05-24,119.610001,1,0.3,57629.316396406466,-0.42370683603593534
2023-05-25,119.480003,0,0.3,57610.52608837972,-0.42389473911620285
2023-05-26,120.540001,0,0.3,57763.85812947273,-0.4223614187052727
2023-05-30,120.139999,-1,0.0,57590.9977580169,-0.424090022419831
2023-05-31,120.620003,0,0.0,57590.9977580169,-0.424090022419831
2023-06-01,120.720001,0,0.0,57590.9977580169,-0.424090022419831
2023-06-02,121.610001,0,0.0,57590.9977580169,-0.424090022419831
2023-06-05,121.730003,0,0.0,57590.9977580169,-0.424090022419831
2023-06-06,123.099998,0,0.0,57590.9977580169,-0.424090022419831
2023-06-07,122.449997,0,0.0,57590.9977580169,-0.424090022419831
2023-06-08,121.650002,0,0.0,57590.9977580169,-0.424090022419831
2023-06-09,120.540001,0,0.0,57590.9977580169,-0.424090022419831
2023-06-12,120.360001,0,0.0,57590.9977580169,-0.424090022419831
2023-06-13,120.480003,0,0.0,57590.9977580169,-0.424090022419831
2023-06-14,119.82,-1,0.0,57533.406760258884,-0.4246659323974112
2023-06-15,119.32,-1,0.0,57475.873353498624,-0.42524126646501376
2023-06-16,119.339996,-1,0.0,57418.397480145126,-0.4258160251985487
2023-06-19,118.43,-1,0.0,57360.979082664984,-0.42639020917335013
2023-06-20,118.18,-1,0.0,57303.61810358232,-0.42696381896417684
2023-06-21,118.519997,-1,0.0,57246.31448547873,-0.42753685514521267
2023-06-22,118.919998,0,0.0,57246.31448547873,-0.42753685514521267
2023-06-23,119.43,0,0.0,57246.31448547873,-0.42753685514521267
2023-06-26,118.360001,0,0.0,57246.31448547873,-0.42753685514521267
2023-06-27,118.809998,1,0.3,57189.068170993254,-0.42810931829006743
2023-06-28,118.900002,1,0.3,57202.065170349306,-0.42797934829650697
2023-06-29,118.32,0,0.3,57118.354543827365,-0.42881645456172635
2023-06-30,118.019997,0,0.3,57074.90708510979,-0.42925092914890206
2023-07-03,116.089996,0,0.3,56794.90039840609,-0.4320509960159391
2023-07-05,116.519997,0,0.3,56858.0114281443,-0.431419885718557
2023-07-06,116.470001,-1,0.0,56737.047961783486,-0.4326295203821651
2023-07-07,115.279999,-1,0.0,56680.310913821704,-0.433196890861783
2023-07-10,115.470001,-1,0.0,56623.630602907884,-0.4337636939709212
2023-07-11,115.620003,-1,0.0,56567.006972304975,-0.43432993027695027
2023-07-12,116.029999,0,0.0,56567.006972304975,-0.43432993027695027
2023-07-13,115.82,0,0.0,56567.006972304975,-0.43432993027695027
2023-07-14,116.769997,1,0.3,56510.43996533267,-0.4348956003466733
2023-07-17,117.290001,1,0.3,56585.93621157407,-0.4341406378842593
2023-07-18,118.110001,1,0.3,56704.6176012012,-0.432953823987988
2023-07-19,118.080002,1,0.3,56700.29684476479,-0.43299703155235214
2023-07-20,118.239998,1,0.3,56723.34516930828,-0.4327665483069172
2023-07-21,119.260002,1,0.3,56870.14330854559,-0.43129856691454416
2023-07-24,119.309998,0,0.3,56877.295613519185,-0.43122704386480815
2023-07-25,118.919998,1,0.3,56821.519536926,-0.43178480463074004
2023-07-26,119.879997,1,0.3,56959.12953402824,-0.43040870465971764
2023-07-27,119.790001,1,0.3,56946.30147109074,-0.4305369852890926
2023-07-28,120.690002,1,0.3,57074.655410090076,-0.42925344589909925
2023-07-31,120.75,1,0.3,57083.16737906484,-0.4291683262093516
2023-08-01,120.650002,1,0.3,57068.98550932181,-0.42931014490678193
2023-08-02,120.400002,0,0.3,57033.509555386896,-0.42966490444613104
2023-08-03,120.589996,1,0.3,57060.509616270116,-0.42939490383729884
2023-08-04,119.650002,0,0.3,56927.07432697074,-0.4307292567302926
2023-08-07,119.510002,0,0.3,56907.09156824306,-0.43092908431756943
2023-08-08,119.860001,0,0.3,56957.08928761836,-0.43042910712381643
2023-08-09,121.309998,0,0.3,57163.7994692638,-0.42836200530736196
2023-08-10,122.209999,0,0.3,57291.02923812293,-0.4270897076187707
2023-08-11,122.790001,0,0.3,57372.59926957388,-0.4262740073042612
2023-08-14,121.919998,0,0.3,57250.64878563588,-0.4274935121436412
2023-08-16,121.870003,0,0.3,57243.60585691297,-0.42756394143087034
2023-08-17,122.489998,0,0.3,57330.97128369463,-0.42669028716305374
2023-08-18,122.300003,1,0.3,57304.29335553666,-0.4269570664446334
2023-08-21,122.760002,0,0.3,57368.95382240334,-0.4263104617759666
2023-08-22,122.209999,1,0.3,57291.84459416501,-0.42708155405834985
2023-08-23,122.669998,1,0.3,57356.53862436824,-0.42643461375631764
2023-08-24,122.290001,1,0.3,57303.23631827141,-0.4269676368172859
2023-08-25,122.739998,0,0.3,57366.494845271125,-0.42633505154728873
2023-08-28,124.690002,0,0.3,57639.9140148256,-0.423600859851744
2023-08-29,124.419998,1,0.3,57602.469936485635,-0.42397530063514366
2023-08-30,124.360001,0,0.3,57594.1369302704,-0.42405863069729605
2023-08-31,125.82,1,0.3,57796.98522951749,-0.42203014770482505
2023-09-01,126.059998,1,0.3,57830.05905131318,-0.4216994094868682
2023-09-05,127.459999,1,0.3,58022.7343054455,-0.419772656945545
2023-09-06,126.809998,1,0.3,57933.96566677336,-0.42066034333226643
2023-09-07,128.130005,1,0.3,58114.88178085902,-0.4188511821914098
2023-09-08,127.970001,1,0.3,58093.11026790747,-0.41906889732092534
2023-09-11,126.190002,1,0.3,57850.69639580685,-0.4214930360419315
2023-09-12,126.559998,1,0.3,57901.58281927405,-0.4209841718072595
2023-09-13,125.610001,1,0.3,57771.19486689696,-0.42228805133103037
2023-09-14,126.160004,1,0.3,57847.08292573962,-0.4215291707426038
2023-09-15,125.529999,1,0.3,57760.42166149624,-0.4223957833850376
2023-09-18,124.360001,0,0.3,57598.915459724245,-0.4240108454027576
2023-09-19,124.620003,0,0.3,57635.04242924081,-0.4236495757075919
2023-09-20,123.620003,0,0.3,57496.29654324712,-0.42503703456752884
2023-09-21,122.68,0,0.3,57365.136480325404,-0.426348635196746
2023-09-22,123.239998,0,0.3,57443.692956602,-0.42556307043398
2023-09-25,124.529999,0,0.3,57624.07860061437,-0.4237592139938563
2023-09-26,123.139999,-1,0.0,57316.31433813561,-0.42683685661864385
2023-09-27,121.980003,0,0.0,57316.31433813561,-0.42683685661864385
2023-09-28,122.209999,0,0.0,57316.31433813561,-0.42683685661864385
2023-09-29,121.580002,0,0.0,57316.31433813561,-0.42683685661864385
2023-10-03,120.830002,-1,0.0,57258.998023797474,-0.42741001976202525
2023-10-04,121.169998,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-05,120.519997,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-06,121.089996,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-09,122.080002,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-10,122.400002,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-11,122.790001,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-12,122.889999,0,0.0,57258.998023797474,-0.42741001976202525
2023-10-13,123.82,1,0.3,57201.73902577368,-0.4279826097422632
2023-10-16,122.970001,0,0.3,57083.93555064001,-0.4291606444935999
2023-10-17,122.129997,0,0.3,56966.95400926811,-0.4303304599073189
2023-10-18,121.669998,0,0.3,56902.584708062015,-0.43097415291937985
2023-10-19,122.389999,0,0.3,57003.603657431246,-0.42996396342568755
2023-10-20,121.610001,0,0.3,56894.61755429649,-0.4310538244570351
2023-10-23,121.800003,-1,0.0,56807.49934503729,-0.43192500654962707
2023-10-24,121.330002,-1,0.0,56750.69184569226,-0.4324930815430774
2023-10-25,121.349998,-1,0.0,56693.941153846565,-0.43306058846153433
2023-10-26,120.330002,-1,0.0,56637.24721269272,-0.43362752787307285
2023-10-27,120.900002,-1,0.0,56580.60996548003,-0.4341939003451997
2023-10-30,121.129997,0,0.0,56580.60996548003,-0.4341939003451997
2023-10-31,120.669998,0,0.0,56580.60996548003,-0.4341939003451997
2023-11-01,121.110001,-1,0.0,56524.02935551455,-0.4347597064448545
2023-11-02,121.190002,0,0.0,56524.02935551455,-0.4347597064448545
2023-11-03,120.620003,0,0.0,56524.02935551455,-0.4347597064448545
2023-11-06,121.650002,0,0.0,56524.02935551455,-0.4347597064448545
2023-11-07,121.209999,0,0.0,56524.02935551455,-0.4347597064448545
2023-11-08,121.629997,1,0.3,56467.50532615903,-0.4353249467384097
2023-11-09,122.129997,1,0.3,56537.143787129506,-0.43462856212870493
2023-11-10,121.129997,0,0.3,56398.26600482563,-0.4360173399517437
2023-11-13,121.309998,-1,0.0,56310.618212846806,-0.4368938178715319
2023-11-14,121.559998,0,0.0,56310.618212846806,-0.4368938178715319
2023-11-15,121.410004,0,0.0,56310.618212846806,-0.4368938178715319
2023-11-16,121.400002,0,0.0,56310.618212846806,-0.4368938178715319
2023-11-17,122.860001,0,0.0,56310.618212846806,-0.4368938178715319
2023-11-20,121.309998,-1,0.0,56254.30759463396,-0.4374569240536604
2023-11-21,121.510002,0,0.0,56254.30759463396,-0.4374569240536604
2023-11-22,122.629997,1,0.3,56198.05328703933,-0.4380194671296067
2023-11-24,122.32,1,0.3,56155.434282674134,-0.4384456571732587
2023-11-27,122.830002,1,0.3,56225.67475960767,-0.4377432524039233
2023-11-28,122.809998,1,0.3,56222.927698516134,-0.43777072301483866
2023-11-29,122.040001,1,0.3,56117.175350098034,-0.43882824649901964
2023-11-30,121.099998,0,0.3,55987.50398149336,-0.44012496018506636
2023-12-01,121.589996,0,0.3,56055.46541525637,-0.43944534584743633
2023-12-04,121.18,-1,0.0,55886.818940329795,-0.44113181059670203
2023-12-05,120.32,-1,0.0,55830.932121389465,-0.44169067878610535
2023-12-06,120.07,-1,0.0,55775.101189268076,-0.4422489881073192
2023-12-07,118.489998,-1,0.0,55719.32608807881,-0.4428067391192119
2023-12-08,118.480003,-1,0.0,55663.606761990726,-0.44336393238009275
2023-12-11,118.010002,0,0.0,55663.606761990726,-0.44336393238009275
2023-12-12,118.150002,0,0.0,55663.606761990726,-0.44336393238009275
2023-12-13,119.169998,1,0.3,55607.943155228735,-0.44392056844771266
2023-12-14,118.93,1,0.3,55574.34628848707,-0.4442565371151293
2023-12-15,119.18,0,0.3,55609.392752555315,-0.44390607247444686
2023-12-18,119.730003,0,0.3,55686.38217907507,-0.4431361782092493
2023-12-19,119.82,0,0.3,55698.93945096532,-0.44301060549034676
2023-12-20,120.139999,0,0.3,55743.565402205604,-0.442564345977944
2023-12-21,120.309998,1,0.3,55767.22867119267,-0.4423277132880733
2023-12-22,120.940002,1,0.3,55854.83629578535,-0.44145163704214646
2023-12-26,121.769997,1,0.3,55969.833569023336,-0.44030166430976664
2023-12-27,122.230003,1,0.3,56033.2641181612,-0.43966735881838803
2023-12-28,122.849998,1,0.3,56118.530442470146,-0.43881469557529856
2023-12-29,123.650002,1,0.3,56228.16426312702,-0.43771835736872977
2024-01-02,125.150002,1,0.3,56432.795670398715,-0.43567204329601283
2024-01-03,124.82,1,0.3,56388.15419583408,-0.43611845804165916
2024-01-04,125.459999,1,0.3,56474.89116658519,-0.4352510883341481
2024-01-05,125.330002,1,0.3,56457.33600999624,-0.4354266399000376
2024-01-08,125.309998,1,0.3,56454.63265278363,-0.43545367347216374
2024-01-09,124.730003,0,0.3,56376.24288695157,-0.4362375711304843
2024-01-10,125.029999,0,0.3,56416.921104592075,-0.43583078895407923
2024-01-11,125.440002,0,0.3,56472.42244128403,-0.43527577558715974
2024-01-12,126.959999,1,0.3,56677.71081339395,-0.4332228918660605
2024-01-16,127.169998,1,0.3,56705.83525263509,-0.43294164747364916
2024-01-17,126.139999,1,0.3,56568.05050499898,-0.4343194949500102
2024-01-18,125.860001,1,0.3,56530.38059585629,-0.4346961940414371
2024-01-19,126.419998,1,0.3,56605.837873683275,-0.43394162126316727
2024-01-22,126.650002,0,0.3,56636.73386167632,-0.43363266138323675
2024-01-23,127.279999,1,0.3,56721.25254748571,-0.4327874745251429
2024-01-24,128.830002,1,0.3,56928.476256559654,-0.4307152374344035
2024-01-25,127.970001,1,0.3,56814.468931210584,-0.4318553106878942
2024-01-29,127.349998,1,0.3,56731.89065292935,-0.4326810934707065
2024-01-30,126.800003,0,0.3,56658.38710360148,-0.4334161289639852
2024-01-31,127.650002,0,0.3,56772.32930685129,-0.4322767069314871
2024-02-01,128.070007,0,0.3,56828.368465010935,-0.43171631534989063
2024-02-02,126.389999,-1,0.0,56491.575162949404,-0.43508424837050597
2024-02-05,126.709999,-1,0.0,56435.08358778645,-0.4356491641221355
2024-02-06,125.379997,-1,0.0,56378.64850419867,-0.4362135149580133
2024-02-07,124.790001,-1,0.0,56322.26985569447,-0.4367773014430553
2024-02-08,124.980003,-1,0.0,56265.947585838774,-0.4373405241416123
2024-02-09,124.769997,-1,0.0,56209.681638252936,-0.43790318361747066
2024-02-12,125.370003,-1,0.0,56153.47195661468,-0.4384652804338532
2024-02-13,126.080002,-1,0.0,56097.31848465807,-0.4390268151534193
2024-02-14,128.229996,1,0.3,56041.22116617341,-0.4395877883382659
2024-02-15,128.380005,1,0.3,56060.88900008472,-0.4393911099991528
2024-02-16,127.959999,1,0.3,56005.86662394748,-0.43994133376052524
2024-02-20,126.239998,0,0.3,55780.022264729276,-0.44219977735270727
2024-02-21,125.660004,0,0.3,55703.13994831778,-0.4429686005168222
2024-02-22,126.300003,0,0.3,55788.250451411,-0.44211749548589
2024-02-23,126.139999,-1,0.0,55655.56940799017,-0.44344430592009826
2024-02-26,126.449997,0,0.0,55655.56940799017,-0.44344430592009826
2024-02-27,125.129997,0,0.0,55655.56940799017,-0.44344430592009826
2024-02-28,125.0,-1,0.0,55599.913838582186,-0.4440008616141781
2024-03-01,124.720001,-1,0.0,55544.313924743605,-0.44455686075256395
2024-03-02,125.389999,-1,0.0,55488.76961081886,-0.4451123038918114
2024-03-05,125.18,-1,0.0,55433.28084120804,-0.44566719158791956
2024-03-06,126.529999,0,0.0,55433.28084120804,-0.44566719158791956
2024-03-07,125.720001,0,0.0,55433.28084120804,-0.44566719158791956
2024-03-08,125.419998,0,0.0,55433.28084120804,-0.44566719158791956
2024-03-09,125.540001,0,0.0,55433.28084120804,-0.44566719158791956
2024-03-12,125.540001,0,0.0,55433.28084120804,-0.44566719158791956
2024-03-13,125.779999,-1,0.0,55377.847560366834,-0.44622152439633167
2024-03-14,125.699997,0,0.0,55377.847560366834,-0.44622152439633167
2024-03-15,124.900002,0,0.0,55377.847560366834,-0.44622152439633167
2024-03-16,124.599998,0,0.0,55377.847560366834,-0.44622152439633167
2024-03-19,124.870003,-1,0.0,55322.469712806465,-0.44677530287193534
2024-03-20,124.309998,-1,0.0,55267.147243093656,-0.44732852756906344
2024-03-21,126.480003,0,0.0,55267.147243093656,-0.44732852756906344
2024-03-22,125.980003,0,0.0,55267.147243093656,-0.44732852756906344
2024-03-23,127.610001,1,0.3,55211.88009585056,-0.4478811990414944
2024-03-26,128.279999,1,0.3,55298.84471214374,-0.4470115528785626
2024-03-27,127.489998,1,0.3,55196.67880250391,-0.4480332119749609
2024-03-28,125.730003,-1,0.0,54858.201135063304,-0.45141798864936694
